Código;Nombre;Información Adicional;Valor
TECN087;COOLER LAPTO 17 PULGADAS 1 VENTILADOR MARCA XTECH XTA150;TECNOLOGIA;16,07
TECN088;COOLER LAPTO PAD 818 2 VENTILADORES AVATIBLE;TECNOLOGIA;6,70
TECN089;EXTERNAL CASE;TECNOLOGIA;13,39
TECN090;HDD CADDY 12,7MM ADAPTADOR DE DICO DURO LAPTO;TECNOLOGIA;10,72
TECN091;HOLTER RAMITECH MODELO NO,Z,J608;TECNOLOGIA;5,80
TECN092;HUB USB 2,0;TECNOLOGIA;5,36
TECN093;HUB USB 4 PUERTOS XTECH;TECNOLOGIA;5,36
TECN094;HUB USB CAJA AMARILLA 3 PUERTOS;TECNOLOGIA;4,02
TECN095;LECTOR USB MICRO SD VARIOS COLORES;TECNOLOGIA;3,13
TECN096;LECTOR VARIAS TARJETAS USB VARIOS COLORES;TECNOLOGIA;3,13
TECN097;MEMORIA DE 126 GB;TECNOLOGIA;33,93
TECN098;MEMORIA DE 16GB;TECNOLOGIA;11,61
TECN099;MEMORIA DE 32 GB;TECNOLOGIA;13,40
TECN100;MEMORIA DE 64GB;TECNOLOGIA;16,07
TECN100100;FUENTE DE PODER;;33,00
TECN100110;FUENTE DE PODER CERTIFICADA;;108,00
TECN100200;DISCO DURO ESTADO SOLIDO 256GB;;90,00
TECN101;MEMORIA DE 8GB;TECNOLOGIA;8,04
TECN102;MICROFONO TIPO CORBATERO 3,5 PARA CELULAR EN FUNDA;TECNOLOGIA;3,57
TECN103;MINI GPS A 8 5 3G PORTABLE;TECNOLOGIA;7,59
TECN104;MINI TECLADO BLUETOOTH;TECNOLOGIA;8,04
TECN105;MOUSE OPTICAL ECONOMICO;TECNOLOGIA;4,46
TECN106;MOUSE RETRACTIL GENIUS;TECNOLOGIA;10,71
TECN107;MOUSE USB GENIUS;TECNOLOGIA;11,61
TECN108;OTG LIGHTNING A TIPO C FEMALE;TECNOLOGIA;3,35
TECN109;OTG MINI TIPO C A USB FEMALE 3,0 VARIOS COLORES;TECNOLOGIA;1,34
TECN110;OTG TIPO C A USB FAMALE;TECNOLOGIA;3,35
TECN111;OTG V8 A USB FAMALE;TECNOLOGIA;3,13
TECN112;PARLANTE MODELO G105 PARA MP3/PC/CD/;TECNOLOGIA;7,59
TECN113;PARLANTE VANTEC MODELO VT-ES208 PARA MP3/PC/CD/NOTEBOOK;TECNOLOGIA;8,93
TECN114;PENDRIVE DE 126 GB;TECNOLOGIA;33,93
TECN115;PENDRIVE DE 16GB;TECNOLOGIA;11,61
TECN116;PENDRIVE DE 256 GB;TECNOLOGIA;40,18
TECN117;PENDRIVE DE 32 GB;TECNOLOGIA;13,40
TECN118;PENDRIVE DE 64GB;TECNOLOGIA;16,07
TECN119;PENDRIVE DE 8GB;TECNOLOGIA;8,04
TECN120;REPETIDOR WF N ONLY GENERICO;TECNOLOGIA;13,39
TECN12001;MEMORIA RAM DDR2 DE 2GB;TECNOLOGIA;30,00
TECN120010;DISCO DURO ESTADO SOLIDO MARCA DEXTOR 2,5 SATA 256GB;;40,18
TECN121;SECOND HDD;TECNOLOGIA;10,71
TECN122;TARJETA DE SONIDO USB;TECNOLOGIA;5,36
TECN123;TECLADO LOGITECH K230;TECNOLOGIA;17,86
TECN124;TECLADO USB VANTEC;TECNOLOGIA;8,93
TECN125;TECLADOS USB GENIUS;TECNOLOGIA;12,50
TECN126;TECLADOS USB QUASAD;TECNOLOGIA;10,71
TECN127;TECLADOS USB XTECH;TECNOLOGIA;4,02
TECN128;TINTAS EPSON 504 COLORES;TECNOLOGIA;6,70
TECN129;TINTAS EPSON 504 NEGRO;TECNOLOGIA;8,93
TECN130;TINTAS EPSON 544;TECNOLOGIA;6,70
TECN131;TINTAS EPSON 664;TECNOLOGIA;6,70
TECN132;USB HUB 3,0;TECNOLOGIA;7,59
TECN200020;CABLE DE RED CAT6E;10 METROS;10,71
TECN200021;CABLE DE RED CAT6 5 METROS;;7,14
TECN2001;CAMBIO DE DISPLAY DE LAPTOP LENOVO E INSTALACION;;125,00
TECN40001;DISCO DURO SSD 256GB;;48,00
TECN40002;INSTALACION DE SISTEMA Y PROGRAMAS CON RESPALDO;;25,00
TECN40003;CABLES DE DATOS SATA PARA DISCO DURO;;4,50
TECN40004;ADAPTADORES DE CORRIENTE IDE A SATAPARA DISCO DURO;;3,50
TECN40005;REPARACION DE MARCADOR DE HUELLAS DIGITALES;;36,00
TECN5001;TECLADO LAPTOP DELL;MODELO P76G002;47,00
TECN5002;INSTALACION DE TECLADO;;5,00
TECNI20002;RELOJ ELECTRONICO;;7,00
TECNL3002;MEMORIA 32GB KINGDTON;;15,00
TECNO12001;CARGADOR IPHONE5W USB A LIGHTNING;;5,36
TECNO12002;CARGADOR IPHONE 20W USB -C TO LIGHTNING;;10,71
TINT20001;TINTAS CANON COLORES;;5,80
TINT664001;TINTAS EPSON COLORES;;6,70
UTIL2333333;UTILES ESCOLARES;;0,50
